node_name,ogt_full_signal,ogt_presence_only_signal
Nitr9(670),34.960667,30.552734
Nits1(671),33.753338,30.388142
Nits2(672),49.6708,42.939754
Nits3(673),32.541325,30.650356
Nits4(674),37.550983,33.233498
NitsA1(675),43.12403,37.462883
NitsA2(676),48.5246,42.01328
NitsA3(677),44.99726,40.288845
OLB1X1(678),34.277912,39.491283
Omni2(679),49.585964,51.637978
Omni3(680),54.12704,56.8157
Omni4(681),52.73828,54.35969
Omni6(682),33.05439,30.472166
Omni7(683),46.77545,44.362244
Omni8(684),31.535074,33.9242
P4572X1(685),45.591503,38.69828
Pate1(686),41.305202,39.807785
Pate10(687),31.342642,31.364017
Pate11(688),44.406864,44.932995
Pate12(689),40.490543,41.450184
Pate13(690),40.221344,39.384823
Pate14(691),44.415024,40.90483
Pate15(692),37.762207,36.669266
Pate17(693),41.54923,41.390488
Pate18(694),36.758686,36.53623
Pate19(695),40.917767,42.73849
Pate21(696),41.889328,39.330074
Pate22(697),38.81717,41.31951
Pate23(698),56.35386,56.898415
Pate24(699),41.495846,37.6255
Pate25(700),34.889637,33.19899
Pate26(701),51.784485,56.32103
Pate27(702),34.480732,34.051556
Pate28(703),37.76429,40.91693
Pate29(704),37.887848,35.736427
Pate3(705),48.74577,54.56231
Pate30(706),31.191357,28.920406
Pate31(707),47.085426,52.977917
Pate32(708),44.84519,56.55015
Pate33(709),41.614323,40.86254
Pate34(710),31.189798,33.56876
Pate35(711),44.668064,55.02962
Pate36(712),41.797813,41.856133
Pate37(713),33.041428,31.986944
Pate38(714),38.65198,38.359062
Pate39(715),44.125275,38.13866
Pate4(716),37.874653,42.138355
Pate40(717),42.130466,42.535576
Pate41(718),31.738455,35.628113
Pate43(719),29.853926,25.27416
Pate44(720),36.220043,43.637054
Pate45(721),44.68463,44.171497
Pate46(722),29.11563,33.163307
Pate48(723),33.35896,35.058678
Pate49(724),36.477654,37.123657
Pate5(725),41.408085,44.01118
Pate50(726),44.219524,57.972992
Pate51(727),34.029022,33.52028
Pate52(728),45.870808,40.238426
Pate53(729),31.294205,31.91541
Pate54(730),30.941092,32.514816
Pate55(731),34.310963,33.525223
Pate56(732),40.87809,38.82234
Pate57(733),34.446518,36.309742
Pate6(734),33.50327,33.792572
Pate7(735),34.397625,32.905945
Pate8(736),42.435555,41.495327
Pate9(737),41.36184,47.83964
Plan12(738),32.475964,35.09618
Plan14(739),30.979702,37.44946
Plan16(740),28.017067,24.953957
Plan17(741),32.754696,35.006714
Plan18(742),53.18155,51.45649
